YYMMDD,STN,TA_AVG,TA_MAX,TA_MIN,HM_AVG,RN_DAY,DATE
20190406,155,14.0,18.7,1218,32.0,-9.0,2019-04-06
20190406,156,13.4,22.3,1358,43.8,-9.0,2019-04-06
20190406,159,14.4,18.4,1417,59.0,-9.0,2019-04-06
20190406,162,13.3,19.3,1444,63.4,-9.0,2019-04-06
20190406,165,12.4,21.5,1454,59.5,-9.0,2019-04-06
20190406,168,13.7,18.4,1551,48.5,-9.0,2019-04-06
20190406,169,10.3,14.4,1220,66.8,-9.0,2019-04-06
20190406,170,13.1,22.5,1337,53.3,-9.0,2019-04-06
20190406,172,11.8,21.3,1325,52.6,-9.0,2019-04-06
20190406,174,13.1,21.4,1420,37.8,-9.0,2019-04-06
20190406,175,12.8,19.9,1447,40.5,-9.0,2019-04-06
20190406,177,9.9,17.5,1357,43.6,-9.0,2019-04-06
20190406,184,15.0,20.8,1619,71.9,-9.0,2019-04-06
20190406,185,12.7,15.1,1431,91.4,-9.0,2019-04-06
20190406,188,13.5,20.5,1342,67.3,-9.0,2019-04-06
20190406,189,13.8,17.6,1145,83.4,-9.0,2019-04-06
20190406,192,12.6,20.7,1244,45.5,-9.0,2019-04-06
20190406,201,8.7,11.5,1104,46.6,0.1,2019-04-06
20190406,202,8.1,12.5,1503,51.3,0.3,2019-04-06
20190406,203,8.0,13.3,1255,49.9,0.2,2019-04-06
20190406,211,6.7,13.7,1259,59.4,4.0,2019-04-06
20190406,212,7.9,13.9,1318,55.8,13.5,2019-04-06
20190406,216,7.6,14.3,1056,40.0,0.0,2019-04-06
20190406,217,7.7,15.2,1418,49.4,1.0,2019-04-06
20190406,221,8.1,16.1,1457,41.5,-9.0,2019-04-06
20190406,226,10.3,20.8,1338,42.3,-9.0,2019-04-06
20190406,232,9.1,18.3,1406,41.3,-9.0,2019-04-06
20190406,234,11.4,19.8,1446,34.8,-9.0,2019-04-06
20190406,235,9.6,15.2,1756,52.1,-9.0,2019-04-06
20190406,236,10.6,20.3,1436,50.8,-9.0,2019-04-06
20190406,238,11.0,21.7,1340,42.3,-9.0,2019-04-06
20190406,243,11.6,21.0,1619,48.4,-9.0,2019-04-06
20190406,244,11.0,22.9,1359,44.0,-9.0,2019-04-06
20190406,245,12.4,22.2,1526,41.8,-9.0,2019-04-06
20190406,247,12.3,22.7,1459,35.8,-9.0,2019-04-06
20190406,248,10.8,20.4,1612,41.0,-9.0,2019-04-06
20190406,251,11.7,21.8,1406,47.9,-9.0,2019-04-06
20190406,252,11.7,21.1,1343,53.9,-9.0,2019-04-06
20190406,253,14.9,20.0,1157,43.6,-9.0,2019-04-06
